Model run 2021090612Z
Started looking for data at 20:00Z
Loading data off - processing last saved data 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

Kaitaia; Tue 07 Sep 2021; Showers, clearing to fine in the evening. Northerlies, turning westerly in the afternoon.; Showers; Drizzle;Rain;Showers;Fine;
Hastings; Wed 08 Sep 2021; Fine with a few clouds, then becoming cloudy with scattered rain for a time in the afternoon and evening. Northwesterly breezes, rising to fresh southwesterlies for a time in the afternoon and evening.; FewShowers; Fine;PartCloudy;Showers;Fine;
Hastings; Thu 09 Sep 2021; Fine, becoming partly cloudy in the morning. Northwesterly breezes, rising to fresh westerlies for a time in the afternoon and evening.; Fine; Fine;Cloudy;PartCloudy;PartCloudy;
Hastings; Fri 10 Sep 2021; Fine with high cloud, then a few showers developing in the evening. Northwesterlies, becoming light in the evening.; FewShowers; PartCloudy;PartCloudy;PartCloudy;FewShowers;
Hastings; Sat 11 Sep 2021; Mainly fine with isolated showers, clearing in the afternoon. Fresh southwesterlies, easing to southerly breezes in the afternoon.; PartCloudy; PartCloudy;Fine;FewShowers;Fine;
Hastings; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Northerly breezes, rising to fresh westerlies for a time.; Fine; Fine;Fine;Fine;Fine;
Hastings; Mon 13 Sep 2021; Fine. Northerly breezes, rising to fresh northwesterlies for a time.; Fine; Fine;Fine;Fine;Fine;
Hastings; Tue 14 Sep 2021; Cloudy with scattered rain, clearing to fine. Southwesterlies.; Showers; Rain;Showers;Fine;Fine;
Hastings; Wed 15 Sep 2021; Fine. Northerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
Hastings; Thu 16 Sep 2021; Mostly cloudy. Southwesterly breezes.; Cloudy; Cloudy;Cloudy;Cloudy;Cloudy;


Dannevirke; Tue 07 Sep 2021; Partly cloudy with isolated showers, becoming widespread for a time in the afternoon and evening. Northerlies, rising to fresh westerlies in the evening.; Showers; Cloudy;PartCloudy;Showers;FewShowers;
Dannevirke; Wed 08 Sep 2021; Mainly fine with isolated showers, becoming rain for a time in the afternoon and evening. Fresh westerlies, easing in the afternoon.; FewShowers; Fine;Drizzle;Rain;Fine;
Dannevirke; Thu 09 Sep 2021; Fine, becoming mostly cloudy in the evening. Fresh westerlies, becoming strong in the morning.; Fine; Fine;Wind;Wind;Wind;
Dannevirke; Fri 10 Sep 2021; Partly cloudy, then rain developing in the afternoon. Gale westerlies, becoming fresh for a time in the afternoon and evening.; Wind; Wind;Wind;Showers;Showers;
Dannevirke; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the afternoon.; FewShowers; FewShowers;Cloudy;FewShowers;Fine;
Dannevirke; Sun 12 Sep 2021; Partly cloudy, becoming fine for a time. Northwesterlies, rising to strong westerlies.; PartCloudy; Cloudy;Cloudy;Wind;Wind;
Dannevirke; Mon 13 Sep 2021; Mostly cloudy, then rain developing later. Northwesterlies, rising to gale westerlies for a time.; Showers; Cloudy;Wind;Wind;Rain;
Dannevirke; Tue 14 Sep 2021; Rain, easing to a few showers. Southwesterlies, easing to light winds later.; Rain; Rain;Rain;Drizzle;Fine;
Dannevirke; Wed 15 Sep 2021; Fine, becoming partly cloudy for a time. Westerlies, becoming fresh later.; Fine; Fine;Fine;Fine;Fine;
Dannevirke; Thu 16 Sep 2021; Partly cloudy, with drizzle for a time. Southwesterlies, easing to light winds.; Cloudy; Cloudy;Fine;Drizzle;Fine;


Masterton; Tue 07 Sep 2021; Cloudy with scattered rain, clearing to fine with a few clouds in the afternoon. Northerlies, becoming fresh for a time in the afternoon and evening.; Showers; Showers;Rain;FewShowers;Cloudy;
Masterton; Wed 08 Sep 2021; Cloudy with scattered rain, clearing to fine in the afternoon. Westerlies, rising to strong southwesterlies for a time in the afternoon and evening.; Showers; Drizzle;Rain;Showers;Fine;
Masterton; Thu 09 Sep 2021; Fine, becoming mostly cloudy for a time in the afternoon and evening. Southerly breezes, rising to fresh northwesterlies in the morning.; PartCloudy; Fine;Fine;Wind;PartCloudy;
Masterton; Fri 10 Sep 2021; Drizzle, turning to rain in the afternoon. Gale northwesterlies, easing in the evening.; Wind; Wind;Wind;WindRain;Rain;
Masterton; Sat 11 Sep 2021; Fine, apart from isolated showers for a time in the afternoon and evening. Fresh southwesterlies, easing to light winds in the afternoon.; PartCloudy; Fine;FewShowers;FewShowers;Fine;
Masterton; Sun 12 Sep 2021; Fine, becoming mostly cloudy. Northwesterly breezes, becoming fresh.; Cloudy; Fine;Fine;Cloudy;Cloudy;
Masterton; Mon 13 Sep 2021; Rain, with heavy falls later. Northerly breezes, rising to gale northwesterlies for a time.; Rain; Drizzle;Rain;WindRain;Rain;
Masterton; Tue 14 Sep 2021; Cloudy with scattered rain, turning to drizzle for a time. Southerly breezes, rising to fresh southwesterlies for a time.; Showers; Rain;Drizzle;FewShowers;Cloudy;
Masterton; Wed 15 Sep 2021; Fine, becoming partly cloudy for a time. Easterly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;
Masterton; Thu 16 Sep 2021; Cloudy with patchy drizzle, clearing to fine. Southerly breezes developing for a time.; Cloudy; Fine;Drizzle;Fine;Fine;


New Plymouth; Tue 07 Sep 2021; Rain with heavy falls, easing to a few showers in the evening. Strong northerlies, easing to fresh westerlies in the afternoon.; Showers; WindRain;WindRain;WindRain;FewShowers;
New Plymouth; Wed 08 Sep 2021; Showers, clearing to fine in the afternoon. Fresh northwesterlies, rising to strong southwesterlies in the morning.; Showers; Showers;WindRain;Wind;Fine;
New Plymouth; Thu 09 Sep 2021; Fine, then a few showers for a time in the afternoon and evening. Fresh westerlies, becoming strong for a time in the afternoon and evening.; FewShowers; Fine;Fine;Wind;PartCloudy;
New Plymouth; Fri 10 Sep 2021; Showers, turning to rain in the morning. Strong westerlies, rising to gale northwesterlies for a time in the afternoon and evening.; Wind; Wind;WindRain;WindRain;WindRain;
New Plymouth; Sat 11 Sep 2021; Fine. Southwesterlies, easing to light winds in the afternoon.; Fine; Fine;Fine;Fine;Fine;
New Plymouth; Sun 12 Sep 2021; Fine with a few clouds, then becoming cloudy with patchy drizzle for a time. Westerlies, becoming fresh for a time.; FewShowers; Fine;Drizzle;Cloudy;PartCloudy;
New Plymouth; Mon 13 Sep 2021; Cloudy with patchy drizzle, becoming rain with heavy falls. Strong northwesterlies, easing to westerlies later.; Showers; Cloudy;FewShowers;WindRain;Rain;
New Plymouth; Tue 14 Sep 2021; Mainly fine with isolated showers, clearing for a time. Southerlies, becoming fresh for a time.; FewShowers; FewShowers;Fine;Fine;Fine;
New Plymouth; Wed 15 Sep 2021; Fine, becoming partly cloudy for a time. Westerlies developing.; Fine; Fine;Cloudy;Fine;Fine;
New Plymouth; Thu 16 Sep 2021; Mostly cloudy, becoming fine later. Westerlies, easing to light winds.; Cloudy; Cloudy;Cloudy;Cloudy;Fine;


Whanganui; Tue 07 Sep 2021; Mostly cloudy at first, with a few showers developing in the morning. Fresh northerlies, rising to strong northwesterlies in the afternoon.; FewShowers; Wind;Showers;FewShowers;FewShowers;
Whanganui; Wed 08 Sep 2021; Cloudy with scattered rain, clearing to fine in the evening. Fresh westerlies, easing to a light breeze in the afternoon.; Showers; Cloudy;Wind;Rain;Fine;
Whanganui; Thu 09 Sep 2021; Fine, becoming partly cloudy in the afternoon. Fresh westerlies.; Fine; Fine;Fine;PartCloudy;Wind;
Whanganui; Fri 10 Sep 2021; Partly cloudy with isolated showers, becoming rain in the afternoon. Strong northwesterlies.; Wind; Wind;Wind;WindRain;Rain;
Whanganui; Sat 11 Sep 2021; Fine. Southerlies, easing to light winds in the afternoon.; FewShowers; Fine;FewShowers;Fine;Fine;
Whanganui; Sun 12 Sep 2021; Fine with a few clouds. Northwesterlies.; FewShowers; Fine;FewShowers;PartCloudy;Fine;
Whanganui; Mon 13 Sep 2021; Partly cloudy, then rain with heavy falls developing later. Fresh northwesterlies, becoming gale for a time.; Wind; Fine;Wind;Wind;Rain;
Whanganui; Tue 14 Sep 2021; Rain, clearing to fine. Southwesterly breezes, rising to fresh southerlies for a time.; Showers; Rain;Rain;Fine;Fine;
Whanganui; Wed 15 Sep 2021; Partly cloudy. Northerlies, turning westerly for a time.; PartCloudy; Fine;Fine;Fine;Cloudy;
Whanganui; Thu 16 Sep 2021; Partly cloudy, becoming fine. Southwesterlies, easing to light winds.; Fine; Fine;Fine;Fine;Fine;


Palmerston North; Tue 07 Sep 2021; Drizzle, turning to showers in the morning. Northerlies, rising to strong northwesterlies in the afternoon.; Showers; Drizzle;Cloudy;Showers;Rain;
Palmerston North; Wed 08 Sep 2021; Showers, clearing to fine in the evening. Westerlies, easing to light winds in the afternoon.; Showers; Cloudy;Rain;Rain;Fine;
Palmerston North; Thu 09 Sep 2021; Partly cloudy at first, with a few showers developing in the morning. Northwesterlies, rising to strong westerlies in the morning.; FewShowers; Fine;Wind;FewShowers;Wind;
Palmerston North; Fri 10 Sep 2021; Partly cloudy at first, then rain developing in the morning. Gale northwesterlies, becoming strong in the morning.; Wind; Wind;WindRain;WindRain;Rain;
Palmerston North; Sat 11 Sep 2021; Partly cloudy, with isolated showers for a time in the afternoon and evening. Westerlies, easing to light winds in the morning.; PartCloudy; FewShowers;Cloudy;FewShowers;Cloudy;
Palmerston North; Sun 12 Sep 2021; Fine, becoming mostly cloudy. Northwesterlies, becoming fresh for a time.; FewShowers; Fine;Fine;Cloudy;FewShowers;
Palmerston North; Mon 13 Sep 2021; Showers, clearing for a time, but becoming cloudy. Strong northwesterlies, easing to westerlies later.; Showers; Drizzle;Wind;Cloudy;Rain;
Palmerston North; Tue 14 Sep 2021; Rain, clearing to fine. Southerly breezes.; Showers; Rain;Drizzle;Fine;Fine;
Palmerston North; Wed 15 Sep 2021; Fine, becoming mostly cloudy for a time. Westerly breezes, rising to fresh northwesterlies.; PartCloudy; Fine;Fine;Cloudy;Fine;
Palmerston North; Thu 16 Sep 2021; Fine, then drizzle for a time. Easterly breezes developing.; Cloudy; Fine;Fine;Drizzle;Fine;


Levin; Tue 07 Sep 2021; Showers, turning to rain with heavy falls for a time in the afternoon and evening. Fresh northerlies, rising to strong northwesterlies in the afternoon.; Showers; Showers;Rain;WindRain;Showers;
Levin; Wed 08 Sep 2021; Rain, clearing to fine in the afternoon. Fresh westerlies, easing to southwesterly breezes in the afternoon.; Showers; Wind;Showers;Showers;Fine;
Levin; Thu 09 Sep 2021; Partly cloudy at first, with a few showers developing in the morning. Fresh westerlies, becoming strong for a time in the afternoon and evening.; FewShowers; Fine;FewShowers;Wind;Wind;
Levin; Fri 10 Sep 2021; Rain, with heavy falls for a time in the afternoon and evening. Gale northwesterlies, easing to fresh westerlies in the evening.; Wind; Wind;WindRain;WindRain;Rain;
Levin; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Southwesterlies, easing to light winds in the afternoon.; FewShowers; FewShowers;Fine;Fine;Fine;
Levin; Sun 12 Sep 2021; Mainly fine with isolated showers, becoming rain for a time. Northwesterlies, becoming fresh for a time.; FewShowers; Fine;FewShowers;Rain;FewShowers;
Levin; Mon 13 Sep 2021; Rain, with heavy falls later. Strong northwesterlies, easing to westerlies later.; Rain; WindRain;Wind;WindRain;Rain;
Levin; Tue 14 Sep 2021; A few showers, clearing to fine for a time. Southerlies.; FewShowers; Rain;Fine;Fine;Fine;
Levin; Wed 15 Sep 2021; Fine, becoming mostly cloudy for a time. Northerly breezes, rising to fresh westerlies.; Fine; Fine;Cloudy;Fine;Fine;
Levin; Thu 16 Sep 2021; Fine with a few clouds, then drizzle for a time. Southwesterly breezes developing for a time.; FewShowers; Fine;Fine;Drizzle;Fine;


Paraparaumu; Tue 07 Sep 2021; Drizzle, turning to showers in the morning. Strong northerlies, rising to gale northwesterlies in the afternoon.; Wind; Wind;WindRain;Wind;Wind;
Paraparaumu; Wed 08 Sep 2021; Cloudy with scattered rain, clearing to fine with a few clouds in the afternoon. Westerlies, rising to fresh southerlies for a time in the afternoon and evening.; Showers; WindRain;Rain;FewShowers;Fine;
Paraparaumu; Thu 09 Sep 2021; Fine, becoming partly cloudy in the afternoon. Westerlies, rising to strong northwesterlies in the morning.; FewShowers; Fine;Wind;Wind;Wind;
Paraparaumu; Fri 10 Sep 2021; A few showers, becoming rain in the morning. Gale northwesterlies, easing to fresh westerlies in the evening.; Wind; Wind;WindRain;WindRain;Rain;
Paraparaumu; Sat 11 Sep 2021; Fine. Fresh southerlies, easing to easterly breezes in the afternoon.; Fine; Fine;Fine;Fine;Fine;
Paraparaumu; Sun 12 Sep 2021; Fine, then showers for a time. Northwesterlies, becoming strong for a time.; FewShowers; Fine;Wind;Wind;Fine;
Paraparaumu; Mon 13 Sep 2021; A few showers, becoming rain. Gale northwesterlies, easing to westerlies later.; Rain; WindRain;Wind;WindRain;Rain;
Paraparaumu; Tue 14 Sep 2021; A few showers, clearing to fine for a time. Southerlies, becoming strong for a time.; Showers; Rain;Wind;Fine;Fine;
Paraparaumu; Wed 15 Sep 2021; Fine, becoming partly cloudy for a time. Northerly breezes, rising to fresh northwesterlies for a time.; Fine; Fine;Cloudy;Fine;Fine;
Paraparaumu; Thu 16 Sep 2021; Fine, becoming partly cloudy later. Southerlies developing for a time.; Fine; Fine;Fine;Fine;Fine;


Wellington; Tue 07 Sep 2021; Showers, clearing to fine in the evening. Gale northerlies, rising to severe gale northwesterlies in the afternoon.; Showers; Drizzle;WindRain;Wind;Fine;
Wellington; Wed 08 Sep 2021; Cloudy with scattered rain, clearing to fine in the afternoon. Fresh northwesterlies, turning southerly for a time in the afternoon and evening.; Showers; Drizzle;Cloudy;Showers;Fine;
Wellington; Thu 09 Sep 2021; Fine, becoming partly cloudy in the afternoon. Fresh northwesterlies, becoming strong in the morning.; Fine; Fine;Fine;PartCloudy;PartCloudy;
Wellington; Fri 10 Sep 2021; Partly cloudy with isolated showers, becoming rain for a time in the afternoon and evening. Severe gale northwesterlies, becoming strong in the afternoon.; Wind; Wind;Wind;WindRain;Cloudy;
Wellington; Sat 11 Sep 2021; Fine. Fresh southerlies, easing to easterly breezes in the afternoon.; Fine; Fine;Fine;Fine;Fine;
Wellington; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Fresh northwesterlies, becoming strong for a time.; Fine; Fine;Fine;PartCloudy;Fine;
Wellington; Mon 13 Sep 2021; A few showers, becoming rain. Severe gale northwesterlies, easing to southerlies later.; Wind; Wind;Wind;WindRain;Rain;
Wellington; Tue 14 Sep 2021; Showers, clearing, but becoming mostly cloudy. Fresh southerlies, becoming strong for a time.; Showers; Rain;Wind;Cloudy;Cloudy;
Wellington; Wed 15 Sep 2021; Fine, becoming partly cloudy for a time. Westerly breezes, rising to fresh northwesterlies for a time.; Fine; Fine;Cloudy;Fine;Fine;
Wellington; Thu 16 Sep 2021; Fine, becoming mostly cloudy. Southeasterly breezes, becoming fresh for a time.; Cloudy; Fine;Fine;Cloudy;Cloudy;


Motueka; Tue 07 Sep 2021; Rain, easing to a few showers in the morning. Northerlies, easing to light winds in the evening.; Showers; Rain;Showers;FewShowers;FewShowers;
Motueka; Wed 08 Sep 2021; Showers at first, clearing to fine with a few clouds in the morning. Southwesterly breezes developing in the morning.; FewShowers; Showers;Fine;Fine;Fine;
Motueka; Thu 09 Sep 2021; Fine with a few clouds, then drizzle for a time in the afternoon and evening. Northwesterly breezes.; FewShowers; Fine;PartCloudy;FewShowers;Fine;
Motueka; Fri 10 Sep 2021; Mostly cloudy at first, then showers developing in the morning. Southwesterly breezes developing for a time in the afternoon and evening.; Showers; Cloudy;Rain;Rain;Rain;
Motueka; Sat 11 Sep 2021; Fine. Northerlies developing for a time in the afternoon and evening.; Fine; Fine;Fine;Fine;Fine;
Motueka; Sun 12 Sep 2021; Partly cloudy, becoming fine. Northerlies developing later.; Fine; Fine;Cloudy;Fine;Fine;
Motueka; Mon 13 Sep 2021; Fine, then rain for a time. Northwesterlies developing for a time.; Showers; Fine;Drizzle;Rain;FewShowers;
Motueka; Tue 14 Sep 2021; Mostly cloudy, becoming fine for a time. Westerly breezes developing later.; Fine; Cloudy;Fine;Fine;Fine;
Motueka; Wed 15 Sep 2021; Partly cloudy, becoming fine. Westerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
Motueka; Thu 16 Sep 2021; Fine, becoming partly cloudy. Northerlies developing for a time.; Fine; Fine;Fine;Fine;Cloudy;


Nelson; Tue 07 Sep 2021; Showers, some heavy, easing in the afternoon. Fresh northerlies, easing to westerlies in the afternoon.; Showers; WindRain;Showers;Showers;FewShowers;
Nelson; Wed 08 Sep 2021; Cloudy with scattered rain at first, clearing to fine in the morning. Northwesterlies, turning southwesterly in the morning.; FewShowers; Showers;Fine;Fine;Fine;
Nelson; Thu 09 Sep 2021; Fine, becoming partly cloudy in the morning. Westerlies, turning northerly in the evening.; Fine; Fine;Fine;PartCloudy;Cloudy;
Nelson; Fri 10 Sep 2021; Partly cloudy at first, then showers developing in the morning. Westerly breezes.; Showers; PartCloudy;Rain;Rain;Drizzle;
Nelson; Sat 11 Sep 2021; Fine. Northerly breezes developing for a time in the afternoon and evening.; Fine; Fine;Fine;Fine;Fine;
Nelson; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerly breezes, rising to fresh northwesterlies later.; Fine; Fine;Cloudy;Cloudy;Fine;
Nelson; Mon 13 Sep 2021; Mainly fine with isolated showers, becoming rain for a time. Fresh northerlies, easing to westerly breezes.; Showers; Fine;WindRain;Rain;Drizzle;
Nelson; Tue 14 Sep 2021; Cloudy with patchy drizzle, clearing to fine for a time. Northeasterlies developing for a time.; FewShowers; Cloudy;Fine;PartCloudy;Fine;
Nelson; Wed 15 Sep 2021; Partly cloudy, becoming fine for a time. Westerlies developing for a time.; Fine; Fine;Fine;Fine;Fine;
Nelson; Thu 16 Sep 2021; Fine with a few clouds, becoming cloudy later. Easterly breezes developing.; PartCloudy; Fine;Cloudy;Fine;Cloudy;


Reefton; Tue 07 Sep 2021; Rain, with heavy falls for a time in the afternoon and evening. Fresh northerlies, easing to light winds in the afternoon.; Rain; Rain;Rain;Rain;Rain;
Reefton; Wed 08 Sep 2021; Rain, clearing to fine with a few clouds in the afternoon. Southwesterlies, easing to light winds in the evening.; Showers; Rain;Rain;FewShowers;Fine;
Reefton; Thu 09 Sep 2021; Rain, easing to patchy drizzle in the evening. Westerly breezes developing for a time in the afternoon and evening.; Rain; Rain;Rain;Rain;Cloudy;
Reefton; Fri 10 Sep 2021; Rain, easing to a few showers in the evening. Fresh northerlies, easing to westerly breezes in the morning.; Rain; Rain;Rain;Rain;FewShowers;
Reefton; Sat 11 Sep 2021; Fine, becoming partly cloudy in the evening. Light winds.; Fine; Fine;Fine;Fine;Fine;
Reefton; Sun 12 Sep 2021; Mostly cloudy, with patchy drizzle developing later. Northerlies developing.; Cloudy; Cloudy;Cloudy;Cloudy;Cloudy;
Reefton; Mon 13 Sep 2021; Rain, with heavy falls for a time. Fresh northerlies, easing to light winds.; Rain; Rain;Rain;Rain;Rain;
Reefton; Tue 14 Sep 2021; Fine. Easterly breezes developing later.; Fine; Fine;Fine;Fine;Fine;
Reefton; Wed 15 Sep 2021; Fine with a few clouds, becoming cloudy later. Southerly breezes developing.; Cloudy; Fine;Cloudy;Fine;Cloudy;
Reefton; Thu 16 Sep 2021; Partly cloudy, becoming fine for a time. Southerly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;


Westport; Tue 07 Sep 2021; Showers, some heavy, easing in the evening. Strong northerlies, easing to fresh westerlies in the afternoon.; Wind; WindRain;Wind;Wind;FewShowers;
Westport; Wed 08 Sep 2021; Rain, easing to a few showers in the morning. Fresh southwesterlies, becoming strong in the morning.; Wind; Rain;Wind;Wind;Fine;
Westport; Thu 09 Sep 2021; Rain, becoming showers for a time in the afternoon and evening. Westerlies, becoming fresh in the morning.; Rain; Rain;Rain;Showers;Rain;
Westport; Fri 10 Sep 2021; Rain, easing to a few showers in the evening. Fresh westerlies, easing to southerlies in the evening.; Rain; Rain;WindRain;Showers;FewShowers;
Westport; Sat 11 Sep 2021; Fine, becoming partly cloudy in the evening. Westerlies developing for a time in the afternoon and evening.; Fine; FewShowers;Fine;Fine;Fine;
Westport; Sun 12 Sep 2021; Cloudy with patchy drizzle, becoming rain later. Westerlies, turning northerly.; Showers; Cloudy;Cloudy;Drizzle;Rain;
Westport; Mon 13 Sep 2021; Rain, with heavy falls for a time. Strong northerlies, easing to southwesterlies.; Rain; WindRain;WindRain;Rain;Rain;
Westport; Tue 14 Sep 2021; Fine. Southerly breezes, rising to fresh southeasterlies later.; Fine; Fine;Fine;Fine;Fine;
Westport; Wed 15 Sep 2021; Fine, becoming mostly cloudy for a time. Southerlies, turning westerly for a time.; PartCloudy; Fine;Fine;Cloudy;Fine;
Westport; Thu 16 Sep 2021; Fine, becoming partly cloudy for a time. Westerly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;


Greymouth; Tue 07 Sep 2021; Rain. Fresh northerlies, turning westerly in the afternoon.; Rain; Showers;Showers;Showers;Rain;
Greymouth; Wed 08 Sep 2021; Rain with heavy falls at first, clearing to fine with a few clouds in the morning. Southwesterlies, becoming fresh in the morning.; Showers; Rain;Wind;Fine;Fine;
Greymouth; Thu 09 Sep 2021; Rain. Westerlies, becoming fresh in the morning.; Rain; Rain;Rain;Rain;Showers;
Greymouth; Fri 10 Sep 2021; Rain, becoming showers in the evening. Fresh westerlies, easing to a light breeze for a time in the afternoon and evening.; Rain; WindRain;WindRain;Rain;Rain;
Greymouth; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Westerlies developing for a time in the afternoon and evening.; FewShowers; FewShowers;Fine;Fine;Cloudy;
Greymouth; Sun 12 Sep 2021; Cloudy with scattered rain, turning to drizzle for a time. Northwesterly breezes, becoming fresh for a time.; Showers; FewShowers;Drizzle;Cloudy;Rain;
Greymouth; Mon 13 Sep 2021; Rain, easing to a few showers later. Gale northwesterlies, easing to southwesterly breezes.; Rain; WindRain;WindRain;Rain;FewShowers;
Greymouth; Tue 14 Sep 2021; Fine. Easterly breezes.; Fine; Fine;Fine;Fine;Fine;
Greymouth; Wed 15 Sep 2021; Fine, then cloud and patchy drizzle developing. Southeasterlies, turning westerly for a time.; FewShowers; Fine;Fine;Cloudy;Drizzle;
Greymouth; Thu 16 Sep 2021; Partly cloudy, becoming fine for a time. Westerly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;


Hokitika; Tue 07 Sep 2021; Rain, becoming showers in the evening. Fresh northerlies, turning westerly in the afternoon.; Rain; Rain;Rain;Rain;Rain;
Hokitika; Wed 08 Sep 2021; Showers at first, clearing to fine in the morning. Fresh southwesterlies, easing in the evening.; FewShowers; Rain;Fine;Fine;Fine;
Hokitika; Thu 09 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Fresh westerlies developing in the morning.; Rain; Showers;Showers;Rain;Rain;
Hokitika; Fri 10 Sep 2021; Rain, easing to a few showers in the evening. Strong northwesterlies, easing to westerly breezes in the morning.; Rain; WindRain;Rain;Rain;FewShowers;
Hokitika; Sat 11 Sep 2021; Fine, becoming partly cloudy in the evening. Westerly breezes developing for a time in the afternoon and evening.; Fine; FewShowers;Fine;Fine;Fine;
Hokitika; Sun 12 Sep 2021; Cloudy with scattered rain, becoming widespread. Northwesterly breezes, rising to fresh northerlies.; Showers; PartCloudy;Showers;Rain;Rain;
Hokitika; Mon 13 Sep 2021; Rain, becoming drizzle later. Fresh westerlies, easing to a light breeze.; Rain; WindRain;Rain;Rain;Drizzle;
Hokitika; Tue 14 Sep 2021; Fine. Easterly breezes developing later.; Fine; Fine;Fine;Fine;Fine;
Hokitika; Wed 15 Sep 2021; Fine, becoming mostly cloudy for a time. Westerly breezes developing for a time.; Fine; Fine;Fine;Cloudy;Fine;
Hokitika; Thu 16 Sep 2021; Fine, becoming partly cloudy for a time. Westerly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;


Blenheim; Tue 07 Sep 2021; Showers, clearing to fine in the afternoon. Northwesterlies, becoming fresh in the morning.; Showers; Rain;Showers;FewShowers;Fine;
Blenheim; Wed 08 Sep 2021; A few showers, clearing to fine in the evening. Westerly breezes.; FewShowers; FewShowers;Cloudy;Showers;Fine;
Blenheim; Thu 09 Sep 2021; Fine, becoming partly cloudy in the morning. Westerlies, becoming fresh in the morning.; PartCloudy; Fine;Fine;PartCloudy;PartCloudy;
Blenheim; Fri 10 Sep 2021; Fine with a few clouds at first, then showers developing in the morning. Fresh northwesterlies, easing to westerly breezes in the evening.; Showers; Fine;Showers;Rain;Cloudy;
Blenheim; Sat 11 Sep 2021; Fine, becoming partly cloudy in the afternoon. Easterly breezes developing for a time in the afternoon and evening.; Fine; Fine;Fine;PartCloudy;PartCloudy;
Blenheim; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Northwesterlies, becoming fresh.; Fine; Fine;Fine;PartCloudy;Fine;
Blenheim; Mon 13 Sep 2021; Partly cloudy, then rain developing. Strong northwesterlies, easing to southeasterly breezes later.; Showers; Wind;Wind;Rain;Rain;
Blenheim; Tue 14 Sep 2021; Showers, clearing to fine with a few clouds for a time. Southeasterly breezes developing for a time.; Showers; Rain;Cloudy;Fine;Fine;
Blenheim; Wed 15 Sep 2021; Fine. Northwesterlies developing for a time.; Fine; Fine;Fine;Fine;Fine;
Blenheim; Thu 16 Sep 2021; Fine, becoming mostly cloudy. Southeasterly breezes developing for a time.; Cloudy; Fine;Fine;Cloudy;Cloudy;


Kaikoura; Tue 07 Sep 2021; A few showers, clearing to fine for a time in the afternoon and evening. Northerly breezes.; FewShowers; FewShowers;FewShowers;Fine;PartCloudy;
Kaikoura; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, turning northerly in the evening.; Showers; FewShowers;Showers;FewShowers;Fine;
Kaikoura; Thu 09 Sep 2021; Fine, becoming partly cloudy in the morning. Northerly breezes.; Fine; Fine;Fine;PartCloudy;PartCloudy;
Kaikoura; Fri 10 Sep 2021; Showers, clearing in the afternoon, but remaining partly cloudy. Northerly breezes developing in the morning.; Showers; FewShowers;Showers;Showers;Fine;
Kaikoura; Sat 11 Sep 2021; Mainly fine with isolated showers, clearing for a time in the afternoon and evening, but becoming mostly cloudy. Southwesterlies, easing to light winds in the afternoon.; PartCloudy; FewShowers;Fine;Cloudy;Cloudy;
Kaikoura; Sun 12 Sep 2021; Fine, becoming partly cloudy. Northeasterly breezes developing.; Fine; Fine;Fine;PartCloudy;PartCloudy;
Kaikoura; Mon 13 Sep 2021; Fine, then rain with heavy falls developing. Northwesterlies, turning southerly for a time.; Showers; Fine;Fine;Rain;Rain;
Kaikoura; Tue 14 Sep 2021; Cloudy with patchy drizzle, becoming rain for a time. Southwesterlies, easing to light winds later.; FewShowers; Cloudy;Drizzle;Rain;Fine;
Kaikoura; Wed 15 Sep 2021; Fine. Westerly breezes developing later.; Fine; Fine;Fine;Fine;Fine;
Kaikoura; Thu 16 Sep 2021; Fine, becoming mostly cloudy. Southerly breezes developing for a time.; Cloudy; Fine;Fine;Cloudy;Cloudy;


Christchurch; Tue 07 Sep 2021; Fine, becoming partly cloudy in the afternoon. Fresh northeasterlies, easing to northerly breezes in the afternoon.; FewShowers; PartCloudy;Fine;Fine;Fine;
Christchurch; Wed 08 Sep 2021; Showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the evening.; Showers; Drizzle;Rain;FewShowers;Fine;
Christchurch; Thu 09 Sep 2021; Fine, becoming partly cloudy in the morning. Northwesterlies, becoming fresh for a time in the afternoon and evening.; Fine; Fine;Fine;PartCloudy;PartCloudy;
